minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
yes,36,female,more,0.28991571068763733,4.300000190734863,upper,yes,yes,24,43,1,0,1,1,0,1,1,1
yes,36,female,more,0.28991571068763733,3.700000047683716,upper,yes,yes,86,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.28991571068763733,3.5999999046325684,upper,yes,yes,76,125,1,0,1,1,0,1,1,1
yes,36,female,more,0.28991571068763733,4.400000095367432,upper,yes,yes,77,123,1,1,1,1,0,1,1,1
no,59,male,more,-0.7377321720123291,4.5,upper,yes,yes,17,20,2,0,0,0,0,1,1,1
no,59,male,more,-0.7377321720123291,4,upper,yes,yes,35,40,2,0,0,0,0,1,1,1
no,59,male,more,-0.7377321720123291,2.0999999046325684,upper,yes,yes,39,44,2,1,0,0,0,1,1,1
no,51,male,more,-0.5719835758209229,3.700000047683716,upper,yes,yes,55,55,3,0,0,0,0,1,1,1
no,51,male,more,-0.5719835758209229,3.200000047683716,upper,yes,yes,111,195,3,1,0,0,0,1,1,1
no,40,female,more,-0.677963376045227,4.300000190734863,upper,yes,yes,40,46,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.5,upper,yes,yes,24,27,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,4.099999904632568,upper,yes,yes,24,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,4.599999904632568,upper,yes,yes,17,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.799999952316284,upper,yes,yes,14,25,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.799999952316284,upper,yes,yes,37,42,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,3.799999952316284,upper,yes,yes,18,20,4,0,0,1,0,1,1,1
no,40,female,more,-0.677963376045227,4.199999809265137,upper,yes,yes,15,18,4,1,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.400000095367432,upper,yes,yes,42,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,3.9000000953674316,upper,yes,yes,40,44,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.5,upper,yes,yes,38,48,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.5,upper,yes,yes,40,45,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.400000095367432,upper,yes,yes,52,59,5,0,0,1,0,1,1,1
no,31,female,more,1.509793996810913,4.400000095367432,upper,yes,yes,49,87,5,1,0,1,0,1,1,1
no,62,male,more,0.5885686874389648,4.199999809265137,upper,yes,yes,182,282,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.400000095367432,upper,yes,yes,160,292,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.5,upper,yes,yes,79,130,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.300000190734863,upper,yes,yes,176,285,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.599999904632568,upper,yes,yes,155,272,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.800000190734863,upper,yes,yes,166,286,6,0,0,0,0,1,1,1
no,62,male,more,0.5885686874389648,4.300000190734863,upper,yes,yes,186,302,6,1,0,0,0,1,1,1
no,33,female,more,-0.1260010004043579,4,upper,yes,yes,33,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.1260010004043579,4,upper,yes,yes,29,34,7,0,0,1,0,1,1,1
no,33,female,more,-0.1260010004043579,4,upper,yes,yes,37,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.1260010004043579,3.9000000953674316,upper,yes,yes,29,41,7,0,0,1,0,1,1,1
no,33,female,more,-0.1260010004043579,3.299999952316284,upper,yes,yes,28,34,7,1,0,1,0,1,1,1
no,51,female,more,-0.2581898868083954,3.4000000953674316,upper,yes,yes,25,41,8,0,0,1,0,1,1,1
no,51,female,more,-0.2581898868083954,4.5,upper,yes,yes,21,22,8,0,0,1,0,1,1,1
no,51,female,more,-0.2581898868083954,4.5,upper,yes,yes,13,21,8,0,0,1,0,1,1,1
no,51,female,more,-0.2581898868083954,4.5,upper,yes,yes,16,17,8,0,0,1,0,1,1,1
no,51,female,more,-0.2581898868083954,2.5,lower,yes,yes,24,30,8,0,0,1,0,0,1,1
no,51,female,more,-0.2581898868083954,4.300000190734863,upper,yes,yes,23,23,8,0,0,1,0,1,1,1
no,51,female,more,-0.2581898868083954,4.5,upper,yes,yes,20,20,8,1,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,4.5,upper,yes,yes,48,60,9,0,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,4.699999809265137,upper,yes,yes,29,33,9,0,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,3.5,upper,yes,yes,11,44,9,0,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,4.5,upper,yes,yes,29,49,9,0,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,3.799999952316284,upper,yes,yes,25,29,9,0,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,4.5,upper,yes,yes,42,48,9,0,0,1,0,1,1,1
no,33,female,more,0.1496925950050354,4.300000190734863,upper,yes,yes,34,40,9,1,0,1,0,1,1,1
no,47,male,more,0.5409169793128967,3.9000000953674316,upper,yes,no,16,19,10,0,0,0,0,1,1,0
no,47,male,more,0.5409169793128967,3.9000000953674316,upper,yes,no,12,16,10,0,0,0,0,1,1,0
no,47,male,more,0.5409169793128967,4.300000190734863,upper,yes,no,14,15,10,0,0,0,0,1,1,0
no,47,male,more,0.5409169793128967,4.199999809265137,upper,yes,no,22,23,10,0,0,0,0,1,1,0
no,47,male,more,0.5409169793128967,5,lower,yes,no,10,11,10,0,0,0,0,0,1,0
no,47,male,more,0.5409169793128967,5,lower,yes,no,17,29,10,0,0,0,0,0,1,0
no,47,male,more,0.5409169793128967,4.599999904632568,upper,yes,no,16,21,10,0,0,0,0,1,1,0
no,47,male,more,0.5409169793128967,5,lower,yes,no,15,18,10,0,0,0,0,0,1,0
no,47,male,more,0.5409169793128967,4.699999809265137,upper,yes,no,16,19,10,0,0,0,0,1,1,0
no,47,male,more,0.5409169793128967,5,lower,yes,no,16,20,10,1,0,0,0,0,1,0
yes,35,male,more,0.2316133975982666,3.0999999046325684,upper,no,yes,18,25,11,0,1,0,0,1,0,1
yes,35,male,more,0.2316133975982666,2.700000047683716,upper,no,yes,30,33,11,0,1,0,0,1,0,1
yes,35,male,more,0.2316133975982666,4,upper,no,yes,23,24,11,1,1,0,0,1,0,1
no,37,male,more,-0.06667370349168777,4,upper,yes,no,30,34,12,0,0,0,0,1,1,0
no,37,male,more,-0.06667370349168777,4.400000095367432,upper,yes,no,13,21,12,0,0,0,0,1,1,0
no,37,male,more,-0.06667370349168777,4.400000095367432,upper,yes,no,24,30,12,0,0,0,0,1,1,0
no,37,male,more,-0.06667370349168777,4.300000190734863,upper,yes,no,24,25,12,0,0,0,0,1,1,0
no,37,male,more,-0.06667370349168777,3.5,upper,yes,no,25,35,12,1,0,0,0,1,1,0
no,42,male,more,0.21689240634441376,3.799999952316284,upper,yes,yes,28,40,13,0,0,0,0,1,1,1
no,42,male,more,0.21689240634441376,3.799999952316284,upper,yes,yes,18,30,13,0,0,0,0,1,1,1
no,42,male,more,0.21689240634441376,3.9000000953674316,upper,yes,yes,28,42,13,0,0,0,0,1,1,1
no,42,male,more,0.21689240634441376,3.700000047683716,upper,yes,yes,25,57,13,0,0,0,0,1,1,1
no,42,male,more,0.21689240634441376,3.299999952316284,upper,yes,yes,40,57,13,0,0,0,0,1,1,1
no,42,male,more,0.21689240634441376,4,upper,yes,yes,40,51,13,0,0,0,0,1,1,1
no,42,male,more,0.21689240634441376,3.799999952316284,upper,yes,yes,18,30,13,1,0,0,0,1,1,1
no,49,male,more,-0.25869619846343994,3.4000000953674316,upper,no,yes,30,36,14,0,0,0,0,1,0,1
no,49,male,more,-0.25869619846343994,4.199999809265137,upper,no,yes,31,37,14,0,0,0,0,1,0,1
no,49,male,more,-0.25869619846343994,3.0999999046325684,upper,no,yes,15,29,14,0,0,0,0,1,0,1
no,49,male,more,-0.25869619846343994,3.5999999046325684,upper,no,yes,23,27,14,1,0,0,0,1,0,1
no,37,female,more,0.5502877831459045,2.9000000953674316,upper,yes,yes,23,28,15,0,0,1,0,1,1,1
no,37,female,more,0.5502877831459045,3.299999952316284,upper,yes,yes,34,52,15,0,0,1,0,1,1,1
no,37,female,more,0.5502877831459045,2.9000000953674316,upper,yes,yes,21,26,15,0,0,1,0,1,1,1
no,37,female,more,0.5502877831459045,3.0999999046325684,upper,yes,yes,29,30,15,1,0,1,0,1,1,1
no,45,male,more,-0.06203579902648926,4.5,upper,yes,yes,23,33,16,0,0,0,0,1,1,1
no,45,male,more,-0.06203579902648926,4,lower,yes,yes,45,177,16,0,0,0,0,0,1,1
no,45,male,more,-0.06203579902648926,4,lower,yes,yes,90,199,16,0,0,0,0,0,1,1
no,45,male,more,-0.06203579902648926,4.199999809265137,upper,yes,yes,27,32,16,0,0,0,0,1,1,1
no,45,male,more,-0.06203579902648926,3.799999952316284,upper,yes,yes,35,37,16,0,0,0,0,1,1,1
no,45,male,more,-0.06203579902648926,4.300000190734863,lower,yes,yes,120,161,16,1,0,0,0,0,1,1
no,56,female,more,-0.9823852181434631,4,upper,yes,no,27,41,17,0,0,1,0,1,1,0
no,56,female,more,-0.9823852181434631,4.599999904632568,upper,yes,no,39,44,17,0,0,1,0,1,1,0
no,56,female,more,-0.9823852181434631,4.300000190734863,upper,yes,no,35,53,17,0,0,1,0,1,1,0
no,56,female,more,-0.9823852181434631,3.5999999046325684,upper,yes,no,34,49,17,0,0,1,0,1,1,0
no,56,female,more,-0.9823852181434631,4.199999809265137,upper,yes,no,27,32,17,1,0,1,0,1,1,0
no,48,male,more,-0.054343998432159424,3.799999952316284,lower,yes,no,100,135,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998432159424,3.9000000953674316,upper,yes,no,20,33,18,0,0,0,0,1,1,0
no,48,male,more,-0.054343998432159424,4.099999904632568,upper,yes,no,14,19,18,0,0,0,0,1,1,0
no,48,male,more,-0.054343998432159424,4,lower,yes,no,65,111,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998432159424,4.300000190734863,lower,yes,no,95,149,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998432159424,3.9000000953674316,upper,yes,no,18,27,18,0,0,0,0,1,1,0
no,48,male,more,-0.054343998432159424,4.199999809265137,lower,yes,no,85,136,18,0,0,0,0,0,1,0
no,48,male,more,-0.054343998432159424,4.199999809265137,lower,yes,no,113,140,18,1,0,0,0,0,1,0
no,46,female,more,-0.06801430135965347,4.300000190734863,upper,yes,yes,25,31,19,0,0,1,0,1,1,1
no,46,female,more,-0.06801430135965347,4.900000095367432,lower,yes,yes,14,15,19,0,0,1,0,0,1,1
no,46,female,more,-0.06801430135965347,4,upper,yes,yes,23,29,19,0,0,1,0,1,1,1
no,46,female,more,-0.06801430135965347,4.300000190734863,upper,yes,yes,23,25,19,0,0,1,0,1,1,1
no,46,female,more,-0.06801430135965347,4.900000095367432,upper,yes,yes,9,18,19,0,0,1,0,1,1,1
no,46,female,more,-0.06801430135965347,3.9000000953674316,upper,yes,yes,30,45,19,0,0,1,0,1,1,1
no,46,female,more,-0.06801430135965347,4.900000095367432,lower,yes,yes,15,15,19,0,0,1,0,0,1,1
no,46,female,more,-0.06801430135965347,3.9000000953674316,upper,yes,yes,31,38,19,0,0,1,0,1,1,1
no,46,female,more,-0.06801430135965347,4,lower,yes,yes,12,15,19,1,0,1,0,0,1,1
no,57,female,more,0.029413700103759766,3.4000000953674316,upper,yes,no,17,28,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3.5,upper,yes,no,10,23,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3.9000000953674316,upper,yes,no,15,19,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,4,upper,yes,no,7,23,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3.5999999046325684,upper,yes,no,7,22,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3,upper,yes,no,14,20,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3,upper,yes,no,8,19,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3.5999999046325684,upper,yes,no,17,23,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3.5999999046325684,upper,yes,no,10,22,20,0,0,1,0,1,1,0
no,57,female,more,0.029413700103759766,3.200000047683716,upper,yes,no,12,15,20,1,0,1,0,1,1,0
no,52,female,more,0.23948590457439423,3.4000000953674316,upper,yes,no,19,22,21,0,0,1,0,1,1,0
no,52,female,more,0.23948590457439423,3.9000000953674316,upper,yes,no,27,31,21,0,0,1,0,1,1,0
no,52,female,more,0.23948590457439423,3.5,upper,yes,no,20,21,21,0,0,1,0,1,1,0
no,52,female,more,0.23948590457439423,3.5,upper,yes,no,31,36,21,0,0,1,0,1,1,0
no,52,female,single,0.23948590457439423,3.0999999046325684,upper,yes,no,17,19,21,0,0,1,1,1,1,0
no,52,female,more,0.23948590457439423,4.199999809265137,upper,yes,no,23,37,21,1,0,1,0,1,1,0
no,62,male,more,-0.733091413974762,4.300000190734863,upper,yes,yes,30,39,23,0,0,0,0,1,1,1
no,62,male,more,-0.733091413974762,3.5999999046325684,lower,yes,yes,94,184,23,0,0,0,0,0,1,1
no,62,male,more,-0.733091413974762,4.5,upper,yes,yes,46,50,23,0,0,0,0,1,1,1
no,62,male,more,-0.733091413974762,3.700000047683716,lower,yes,yes,80,157,23,0,0,0,0,0,1,1
no,62,male,more,-0.733091413974762,3.4000000953674316,lower,yes,yes,61,164,23,1,0,0,0,0,1,1
no,64,male,more,-0.11112210154533386,4.400000095367432,upper,yes,yes,15,24,24,0,0,0,0,1,1,1
no,64,male,more,-0.11112210154533386,4.5,upper,yes,yes,51,68,24,0,0,0,0,1,1,1
no,64,male,more,-0.11112210154533386,4.599999904632568,upper,yes,yes,22,47,24,0,0,0,0,1,1,1
no,64,male,more,-0.11112210154533386,4.800000190734863,upper,yes,yes,10,14,24,0,0,0,0,1,1,1
no,64,male,more,-0.11112210154533386,4.5,upper,yes,yes,11,15,24,0,0,0,0,1,1,1
no,64,male,more,-0.11112210154533386,4.400000095367432,upper,yes,yes,15,24,24,0,0,0,0,1,1,1
no,64,male,more,-0.11112210154533386,4.099999904632568,upper,yes,yes,21,39,24,1,0,0,0,1,1,1
no,34,female,more,1.7755169868469238,4.599999904632568,upper,yes,yes,20,26,25,0,0,1,0,1,1,1
no,34,female,more,1.7755169868469238,3.9000000953674316,upper,yes,yes,33,40,25,1,0,1,0,1,1,1
no,58,male,more,-0.3218485116958618,4.199999809265137,upper,yes,yes,84,159,26,0,0,0,0,1,1,1
no,58,male,more,-0.3218485116958618,4.300000190734863,upper,yes,yes,71,151,26,0,0,0,0,1,1,1
no,58,male,more,-0.3218485116958618,3.5,lower,yes,yes,36,47,26,0,0,0,0,0,1,1
no,58,male,more,-0.3218485116958618,4,upper,yes,yes,73,122,26,0,0,0,0,1,1,1
no,58,male,more,-0.3218485116958618,4,lower,yes,yes,31,45,26,1,0,0,0,0,1,1
yes,52,male,more,0.2116938978433609,4,upper,no,yes,13,16,27,0,1,0,0,1,0,1
yes,52,male,more,0.2116938978433609,4.599999904632568,upper,no,yes,23,23,27,0,1,0,0,1,0,1
yes,52,male,more,0.2116938978433609,4.599999904632568,upper,no,yes,12,16,27,0,1,0,0,1,0,1
yes,52,male,more,0.2116938978433609,3.700000047683716,upper,no,yes,15,18,27,0,1,0,0,1,0,1
yes,52,male,more,0.2116938978433609,3.5,upper,no,yes,11,16,27,0,1,0,0,1,0,1
yes,52,male,more,0.2116938978433609,3.5999999046325684,upper,no,yes,12,15,27,0,1,0,0,1,0,1
yes,52,male,more,0.2116938978433609,3.9000000953674316,upper,no,yes,18,28,27,1,1,0,0,1,0,1
no,73,male,more,-0.717644989490509,3.299999952316284,upper,yes,yes,12,17,28,0,0,0,0,1,1,1
no,73,male,more,-0.717644989490509,4.199999809265137,upper,yes,yes,10,13,28,0,0,0,0,1,1,1
no,73,male,more,-0.717644989490509,3.200000047683716,upper,yes,yes,16,21,28,0,0,0,0,1,1,1
no,73,male,more,-0.717644989490509,4.900000095367432,upper,yes,yes,13,17,28,1,0,0,0,1,1,1
no,70,male,more,-0.7326927185058594,4.400000095367432,upper,yes,yes,47,134,29,0,0,0,0,1,1,1
no,70,male,more,-0.7326927185058594,4,upper,yes,yes,5,48,29,0,0,0,0,1,1,1
no,70,male,more,-0.7326927185058594,3.5,upper,yes,yes,34,64,29,0,0,0,0,1,1,1
no,70,male,more,-0.7326927185058594,3.4000000953674316,upper,yes,yes,24,69,29,1,0,0,0,1,1,1
no,63,male,more,-0.010207699611783028,3.5,upper,yes,no,28,43,31,0,0,0,0,1,1,0
no,63,male,more,-0.010207699611783028,4.199999809265137,upper,yes,no,11,14,31,0,0,0,0,1,1,0
no,63,male,more,-0.010207699611783028,3.5,upper,yes,no,10,15,31,0,0,0,0,1,1,0
no,63,male,more,-0.010207699611783028,4.400000095367432,upper,yes,no,14,18,31,0,0,0,0,1,1,0
no,63,male,more,-0.010207699611783028,3.700000047683716,upper,yes,no,12,16,31,0,0,0,0,1,1,0
no,63,male,more,-0.010207699611783028,3.4000000953674316,upper,yes,no,8,10,31,0,0,0,0,1,1,0
no,63,male,more,-0.010207699611783028,3,upper,yes,no,23,47,31,1,0,0,0,1,1,0
no,47,male,more,-0.9239569902420044,4.699999809265137,upper,yes,yes,10,15,32,0,0,0,0,1,1,1
no,47,male,more,-0.9239569902420044,3.9000000953674316,upper,yes,yes,10,14,32,0,0,0,0,1,1,1
no,47,male,more,-0.9239569902420044,2.799999952316284,upper,yes,yes,10,12,32,1,0,0,0,1,1,1
no,39,male,more,0.5766804814338684,3.9000000953674316,lower,yes,yes,86,246,33,0,0,0,0,0,1,1
no,39,male,more,0.5766804814338684,3.700000047683716,lower,yes,yes,154,316,33,0,0,0,0,0,1,1
no,39,male,more,0.5766804814338684,4.599999904632568,upper,yes,yes,12,15,33,0,0,0,0,1,1,1
no,39,male,more,0.5766804814338684,4.199999809265137,upper,yes,yes,14,15,33,0,0,0,0,1,1,1
no,39,male,more,0.5766804814338684,4.400000095367432,upper,yes,yes,27,29,33,1,0,0,0,1,1,1
yes,47,female,more,-0.08360149711370468,4,lower,yes,yes,21,21,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,3.799999952316284,upper,yes,yes,8,8,34,0,1,1,0,1,1,1
yes,47,female,single,-0.08360149711370468,4.099999904632568,lower,yes,yes,16,16,34,0,1,1,1,0,1,1
yes,47,female,more,-0.08360149711370468,3.700000047683716,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,4.099999904632568,upper,yes,yes,7,10,34,0,1,1,0,1,1,1
yes,47,female,more,-0.08360149711370468,3,lower,yes,yes,25,26,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,3.200000047683716,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,2.799999952316284,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,single,-0.08360149711370468,4.699999809265137,lower,yes,yes,20,21,34,0,1,1,1,0,1,1
yes,47,female,more,-0.08360149711370468,4.199999809265137,lower,yes,yes,12,12,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,3.200000047683716,lower,yes,yes,25,27,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,3.0999999046325684,lower,yes,yes,26,27,34,0,1,1,0,0,1,1
yes,47,female,more,-0.08360149711370468,4,lower,yes,yes,24,25,34,1,1,1,0,0,1,1
no,54,male,more,-1.07955801486969,4.300000190734863,upper,yes,yes,15,15,35,0,0,0,0,1,1,1
no,54,male,more,-1.07955801486969,4.199999809265137,upper,yes,yes,10,15,35,0,0,0,0,1,1,1
no,54,male,more,-1.07955801486969,4.300000190734863,upper,yes,yes,16,17,35,1,0,0,0,1,1,1
yes,44,female,more,1.040902018547058,3.799999952316284,upper,yes,yes,30,55,36,0,1,1,0,1,1,1
yes,44,female,more,1.040902018547058,3.299999952316284,upper,yes,yes,35,48,36,0,1,1,0,1,1,1
yes,44,female,more,1.040902018547058,4.099999904632568,upper,yes,yes,21,21,36,0,1,1,0,1,1,1
yes,44,female,more,1.040902018547058,3.700000047683716,upper,yes,yes,35,39,36,1,1,1,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.799999952316284,upper,yes,yes,20,27,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.299999952316284,upper,yes,yes,9,14,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.799999952316284,upper,yes,yes,21,26,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.4000000953674316,upper,yes,yes,13,16,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,4.199999809265137,upper,yes,yes,13,16,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.799999952316284,upper,yes,yes,12,13,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.5,upper,yes,yes,14,14,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927002,3.299999952316284,upper,yes,yes,15,17,37,1,1,0,0,1,1,1
no,62,male,more,-0.7277681231498718,4,upper,yes,yes,12,13,38,0,0,0,0,1,1,1
no,62,male,more,-0.7277681231498718,4.300000190734863,upper,yes,yes,13,15,38,0,0,0,0,1,1,1
no,62,male,more,-0.7277681231498718,4.099999904632568,upper,yes,yes,7,10,38,1,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.599999904632568,upper,yes,yes,25,34,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.5,upper,yes,yes,12,16,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.5,upper,yes,yes,11,14,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.599999904632568,upper,yes,yes,8,12,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.400000095367432,upper,yes,yes,24,39,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.099999904632568,upper,yes,yes,15,35,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.5,upper,yes,yes,31,45,39,0,0,0,0,1,1,1
no,60,male,more,-0.39539650082588196,4.300000190734863,lower,yes,yes,36,45,39,1,0,0,0,0,1,1
no,42,male,more,-0.23777860403060913,4.699999809265137,upper,yes,yes,13,14,41,0,0,0,0,1,1,1
no,42,male,more,-0.23777860403060913,4.400000095367432,upper,yes,yes,14,14,41,0,0,0,0,1,1,1
no,42,male,more,-0.23777860403060913,4.900000095367432,upper,yes,yes,13,14,41,0,0,0,0,1,1,1
no,42,male,more,-0.23777860403060913,4.699999809265137,upper,yes,yes,12,12,41,0,0,0,0,1,1,1
no,42,male,more,-0.23777860403060913,4.599999904632568,upper,yes,yes,13,15,41,1,0,0,0,1,1,1
no,35,male,more,0.27490800619125366,4.199999809265137,upper,yes,yes,42,51,42,0,0,0,0,1,1,1
no,35,male,more,0.27490800619125366,4.800000190734863,lower,yes,yes,21,23,42,0,0,0,0,0,1,1
no,35,male,more,0.27490800619125366,4.199999809265137,upper,yes,yes,49,57,42,0,0,0,0,1,1,1
no,35,male,more,0.27490800619125366,4.599999904632568,lower,yes,yes,44,50,42,1,0,0,0,0,1,1
no,39,female,more,1.9700230360031128,3.4000000953674316,lower,yes,no,22,24,43,0,0,1,0,0,1,0
no,39,female,more,1.9700230360031128,4.699999809265137,upper,yes,no,18,23,43,0,0,1,0,1,1,0
no,39,female,more,1.9700230360031128,4.599999904632568,upper,yes,no,20,23,43,0,0,1,0,1,1,0
no,39,female,more,1.9700230360031128,3.5999999046325684,lower,yes,no,27,28,43,1,0,1,0,0,1,0
no,49,male,more,1.050950050354004,3.9000000953674316,upper,yes,yes,28,45,44,0,0,0,0,1,1,1
no,49,male,more,1.050950050354004,3.9000000953674316,upper,yes,yes,27,42,44,0,0,0,0,1,1,1
no,49,male,more,1.050950050354004,4,upper,yes,yes,49,57,44,1,0,0,0,1,1,1
no,61,male,more,0.24181850254535675,4.5,lower,yes,yes,22,27,45,0,0,0,0,0,1,1
no,61,male,more,0.24181850254535675,4.400000095367432,upper,yes,yes,31,38,45,0,0,0,0,1,1,1
